id,providerListingId,imgSrc,hasImage,carouselPhotos,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,info2String,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,brokerName,info3String,builderName,lotAreaString,isPropertyResultCDP,best_deal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68300634,,https://photos.zillowstatic.com/fp/5f805419e6d186b87d98d27f95e737ff-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/5f805419e6d186b87d98d27f95e737ff-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/920379d8e675e9a9d419500ec5f23179-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/394455ee33b493748172bead61741113-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a6ccd002727b7ac9b771009acdad933d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/701a20a06f3bf57a452acab87ff81943-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/23f985d8b0aae54fe5977f7ed127a0d0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4856be3d54f51f19505bbb7f26c645ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e2a55f21321198d020b09c7349d10a09-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0a4dfe2cff76352c5aa49e31a7377376-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ebaf11b65d28d4cf60ec827609ae3fd2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/95fa9d03383b7891f0e785feaaca95ff-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c0d98867042a5100050651bd45609881-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e9392a268d100d409201cfdb232f6ff8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/863e0ee635dd7f67b2e39fb7cc40e795-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/67d0482841b8670373c8018086269b52-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a1bf87e2fa5c70cb734b7cb5e85bdef5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/35e5a164a2d318c44560031cf602a6d5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2d3e3ee6f964f484842e478adca25db2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3d312b8e9ae0c18bea68da9f0fcce7f9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f4bb9107a467c58f4946f43380e56272-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1839b0fedd16ef676af6f778e93901aa-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/acd92899472a58117be69d63c5f3e33e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9e7a57e45408d8c32db0dd7d49cc148e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/badec2874f2b0bc2c2d53acf86126e7a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b52082f8389174b47e043c3bf2fe11fd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d9a9b4140067f65d6a07dce04352d097-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2926d15c440e9130e087ffe04cedec57-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4856be3d54f51f19505bbb7f26c645ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ff1025fe57b3788e27f547b9536e6763-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/148542183bcb7541659c9c4933ae48a3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4fc7119213e90076930d401352aa4adc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/783d4f823b3f47eb15838aca3ea743c9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c2464ab880dafe36063b859109cb7a99-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d7facf9a8d2053f8ff5ad6e32349072a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b5cd4f0430206a21605263c104186752-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b7726cd5100aad6a9fa3eb2fcfe02f2c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ba1e7ffd50b439c7c1bda4ecffcfc7d7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/70a9dd67b23caac86a374fac83f463b9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ec6d0df8bb79c99924f0bae0f98276c8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1730c41ddab941948e3405b8b8b21864-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/635a446b83b0276dfb3271436f074183-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/470bc06280b1d315fcd162dce1caa53d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/02a2db239a8aa64200d34e75cc08e0a9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ebcf450cf0fb379569805cf7c7281788-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cb36f00f8ebfb420bca6c6997bf0088c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6d87f72bca73e669b196154de3751b57-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/13ff386c57aba5bf43481a43421d7b00-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6e1bd42b043666f904ae6c03be8b178d-p_e.jpg'}]",https://www.zillow.com/homedetails/700-1st-St-16PB-Hoboken-NJ-07030/68300634_zpid/,FOR_SALE,Condo for sale,$,"$1,975,000 ",1975000,"700 1st St #16PB, Hoboken, NJ 07030",700 1st St #16PB,Hoboken,NJ,7030,FALSE,5,4,3880,"{'latitude': 40.73998, 'longitude': -74.04217}",FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$125,000 (Nov 1)'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),2057400,FALSE,FALSE,FALSE,FALSE,Listing provided by HCMLS,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-82400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079436468,,https://photos.zillowstatic.com/fp/d1617eb61289470f5d40524d4e2b809f-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/d1617eb61289470f5d40524d4e2b809f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a222b1c96284668bf5c7cd9ef3e7b927-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f183b67d3ba1e6ad8173ff10f6af5c53-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7c1ec93a4bd50f08e42f8e2b24e26d62-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7e5d34a6dc13e0b8262bc8424df947bf-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/04f65d16ed7e6be8c775d04e4e094f44-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7abaa42e0acc66826cffa25590bd2d37-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/acb9d15ebdb6b3e319594470c7a992cd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/51509f4c582ab5e1d3e08c11c78c0e59-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fd7a98b3e8deb06682b09ebfb4611215-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/df2ccf57cc1b79a4587e1a916eaa1cc3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e202d7273bc1c6dc35905911d0e45a1a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6950b14709a5c8e0e31710a34310b0a3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/799c25e0938792a5cd1759dbcf7dafb0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/63c027b98156e9373070caa4ab532de3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/15a0cd2174f864624be8aa08d98c033a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/820a4e2ca8bed4aa9c105d0d8b981def-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/999d2a092055c445b7df25aed49d1084-p_e.jpg'}]",https://www.zillow.com/homedetails/901-Hudson-St-Hoboken-NJ-07030/2079436468_zpid/,FOR_SALE,Condo for sale,$,"$3,495,000 ",3495000,"901 Hudson St, Hoboken, NJ 07030",901 Hudson St,Hoboken,NJ,7030,FALSE,5,5,3815,"{'latitude': 40.747215, 'longitude': -74.026596}",FALSE,"{'type': 'VIDEO_WALKTHROUGH', 'text': 'Video Walkthrough'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),3549500,FALSE,FALSE,TRUE,FALSE,Listing provided by HCMLS,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-54500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88859360,,https://photos.zillowstatic.com/fp/30dc19d25b2e4972afb3c190bded194c-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/30dc19d25b2e4972afb3c190bded194c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3047eb881172fe87e5d907a096971cb1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/787501b4ed3c70855c9009e698c40bc5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4a4e9c66f33cc0d0b353067b230db653-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/17490d9b0aff0eba72e00d01a2296dd9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/dd8f72261da7b8ec3be946dc2f40b8ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5d424682aa315cb6150574139438d7a7-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/31b139dd76c1093b54d2e12cde3a0380-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/88d8bbe22c119e0029ed6403a9330bd0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/a68770dbc2ad6cf59fffff7080cb169f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/166a50c64491c6ffdfa2a4d8624fbbfb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f9d97816081a4fc7f7f80c779d701eab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/42f3a2262521fe2d9a488b6fbae3138b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8f0da87061a2f4a23afbec1113cc3b8e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/377111eb0c9eb84780eedfa613604f8d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0e6843dd740a19a41eafe57c72b5912e-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f2eaa99b658acf179bd37857088aad04-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/89ee4aa9bc80c09283575b74cbe69590-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/46e7fb897e274e7b8304306750738b62-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4b73a96ecbef2d26c993ee38eddfe491-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/41f70ada79989a0057067ca99a95e861-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4316ead804dca79736487cd1f427b7c0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ff132d61e4f0493f05002af9a77ba9b6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7c902ca54cf566b36e870c138139e274-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cd2784777bce29297add2cff4da4cd97-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ec7bd9d85cfd87e1ac7042dd052f140b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b30aa4a40519dd494aa0154faea12945-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3762f6fa3e304d3b9ce66fee0b02d12c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e80098f04847717516b2a41272fce2e0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c644fcf07101eafc3edd10046cd5caaf-p_e.jpg'}]",https://www.zillow.com/homedetails/814-Washington-St-APT-2-Hoboken-NJ-07030/88859360_zpid/,FOR_SALE,Foreclosure,$,"$594,900 ",594900,"814 Washington St APT 2, Hoboken, NJ 07030",814 Washington St APT 2,Hoboken,NJ,7030,FALSE,2,1,1036,"{'latitude': 40.746635, 'longitude': -74.02848}",FALSE,"{'type': 'DAYS_ON', 'text': '42 days on Zillow'}",,FALSE,FALSE,FALSE,ForSale,Foreclosure,649200,FALSE,FALSE,FALSE,FALSE,Listing provided by HCMLS,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-54300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68300698,,https://photos.zillowstatic.com/fp/4d841556b1e6cd000204991ce9bd442c-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/4d841556b1e6cd000204991ce9bd442c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3f73a1320982ae1062775d0047093fdd-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d2176078ad074eb911c050c6b045330d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3535a7b5c7583352239bce89947f916f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cb257ea0b987d7adf3a46387f52880d2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/055b4fd7b1689d72f2acc3ab38d25fdc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bedcb8540b12d5c3130545ed32e9c4dc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/45e90827b241239542553430f501e3ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/28a3f6bdf9661e5be280bcb384312344-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f5e3ee603c7e8a2b60b826045bf4ad98-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/74cf1a450557ea3e6a795ef8a61a93f0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e19187f4d53292d054d7dd4b5aef0ec2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8f9e8fd600a0b7ebffe9eba8ef2c37d0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/807047fe3f988d808ed359bf7501640c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/00d137786b9d7edb964a42a3b7b69b66-p_e.jpg'}]",https://www.zillow.com/homedetails/621-Monroe-St-APT-1A-Hoboken-NJ-07030/68300698_zpid/,FOR_SALE,Condo for sale,$,"$725,000 ",725000,"621 Monroe St APT 1A, Hoboken, NJ 07030",621 Monroe St APT 1A,Hoboken,NJ,7030,FALSE,2,2,1261,"{'latitude': 40.745834, 'longitude': -74.03788}",FALSE,"{'type': 'DAYS_ON', 'text': '63 days on Zillow'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),757900,FALSE,FALSE,FALSE,FALSE,Listing provided by HCMLS,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-32900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38883106,,https://photos.zillowstatic.com/fp/8eab5ba93333349c613cd7d9e0ce2d7c-p_e.jpg,TRUE,"[{'url': 'https://photos.zillowstatic.com/fp/8eab5ba93333349c613cd7d9e0ce2d7c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/65e467d91ca5dbc83d26c9ee71684fc8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c92737b3843aaf82968e7b08c958ca5c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c94259110a65d4b145a25d7d4d0f44f6-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/bdbfef28beda8d374441b0934ac9d656-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/735de1e49b2e999abe5e042ff182ea88-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e4596bb665afec8499ffae55b9c6a08a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5baeaa493a425b497606ee2eab94d22d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/02d3cd4df90023e53551a37975a999e4-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ca3c0c38a9d9fbff186c0cf245d1c7f1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d134fd97492c3b7b9b3b2c70f6869ea9-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/7d1bf9e492e7944b267dfa345eebcd4d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/8c3407feb2627095f03d9678d3f90b4d-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/830b866ab91cea90d4d2419775507118-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c4672fb326e19aee2c00b674af97d33a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/85993366ef90275c4e9cb78f8862c99f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0943ced2788cafc962e56f74faf9d0a2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ac48c9200989507454dcb652415cacdf-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ce8cd4e9ed3d84e3931336b26f852601-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/69c70d8e18af8ae3c510d101043f2f9f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/48522a9c964e7c2cb1ddb0ae269f843f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3eaaf03ae5a5476dd2f951fbf80e3bac-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c14aaaadc77176006de0161f72c13a22-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3fa7b083f0147a0f3e6d8c460618ef72-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d6ea228f1703988a4aa7cc7b3b8210f2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/cd3564d02aebaaa8049af6efaa91f568-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/de14a435231543e8492309cabb687a35-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f4166f19aa113c05605b955c6bae358a-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2287aa5c9257b77be7c53ac6e13db034-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/5af52193ba3aa9ca7d439fc42df32617-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b871ad534f1853cb31636285514c3d3f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0a60fee0bd4ca223b6a10a5333010e16-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/df73a0d41cca900b750beaaf4c3e9f51-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/ae090887a4c94b3b4eef69705fe1d0c2-p_e.jpg'}]",https://www.zillow.com/homedetails/219-Madison-St-1-Hoboken-NJ-07030/38883106_zpid/,FOR_SALE,Condo for sale,$,"$1,150,000 ",1150000,"219 Madison St #1, Hoboken, NJ 07030",219 Madison St #1,Hoboken,NJ,7030,FALSE,3,3,1500,"{'latitude': 40.74086, 'longitude': -74.03836}",FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,FALSE,FALSE,FALSE,ForSale,For Sale (Broker),1170600,FALSE,TRUE,FALSE,FALSE,Listing provided by HCMLS,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,-20600
